Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
7, 0.035, 0.145097, 0.00759258, -0.0100907, 0.106684
7, 0.04, 0.163774, 0.00947012, -0.0114512, 0.135303
7, 0.045, 0.183051, 0.0113391, -0.015047, 0.169203
7, 0.05, 0.202516, 0.0131035, -0.02062, 0.207934
7, 0.055, 0.221729, 0.0147501, -0.0274182, 0.250419
7, 0.06, 0.240566, 0.0163414, -0.0347973, 0.296018
7, 0.065, 0.25931, 0.0179912, -0.0424967, 0.345311
7, 0.07, 0.278362, 0.0198465, -0.0502746, 0.399485
7, 0.075, 0.297465, 0.0220555, -0.0568343, 0.457238
7, 0.08, 0.317132, 0.024497, -0.0637975, 0.521235
7, 0.085, 0.312149, 0.022792, -0.16692, 0.552045
7, 0.09, 0.331195, 0.0250718, -0.173705, 0.619495
7, 0.095, 0.350089, 0.0275172, -0.180619, 0.690305
8, 0, 0.00375416, 0.000316793, 0.00747282, 0.000113538
8, 0.005, 0.0241881, 0.00052021, 0.0143889, 0.00789256
8, 0.01, 0.0435541, 0.000953738, 0.0221343, 0.027817
8, 0.015, 0.0614431, 0.0016383, 0.030909, 0.0530498
8, 0.02, 0.0779137, 0.00258974, 0.0406281, 0.0787798
8, 0.025, 0.0933934, 0.00386422, 0.0512621, 0.103346
8, 0.03, 0.108657, 0.00553434, 0.0625985, 0.128879
8, 0.035, 0.124596, 0.00760045, 0.0740459, 0.160839
8, 0.04, 0.141682, 0.00988366, 0.0847391, 0.205437
8, 0.045, 0.159491, 0.0120403, 0.0939604, 0.265234
8, 0.05, 0.17675, 0.013761, 0.101585, 0.33449
8, 0.055, 0.192003, 0.0148682, 0.107857, 0.40047
8, 0.06, 0.205055, 0.0151172, 0.112107, 0.461523
8, 0.065, 0.22323, 0.0176498, 0.120749, 0.555817
8, 0.07, 0.208242, 0.0142108, 0.0685874, 0.634646
8, 0.075, 0.223297, 0.0161841, 0.0739752, 0.727704
8, 0.08, 0.23931, 0.017935, 0.0806815, 0.830502
8, 0.085, 0.255192, 0.0196976, 0.0878043, 0.935541
8, 0.09, 0.271003, 0.0215678, 0.0949757, 1.04551
8, 0.095, 0.286798, 0.0235682, 0.102105, 1.1617
9, 0, 0.00853784, 0.000576659, -0.00580207, 0.00317222
9, 0.005, 0.0261197, 0.000856971, -0.0125974, 0.00406598
9, 0.01, 0.0430857, 0.0012189, -0.0188686, 0.00864457
9, 0.015, 0.0605079, 0.00201431, -0.024347, 0.0170103
9, 0.02, 0.0790842, 0.00381002, -0.0289691, 0.0291282
9, 0.025, 0.0996174, 0.00666949, -0.0357765, 0.0472726
9, 0.03, 0.117009, 0.00834926, -0.0413773, 0.063955
9, 0.035, 0.129418, 0.00818984, -0.0433323, 0.0773746
9, 0.04, 0.101017, 0.00655773, -0.0175566, 0.138777
9, 0.045, 0.115605, 0.00783883, -0.0213914, 0.172687
9, 0.05, 0.131446, 0.0087033, -0.025638, 0.201423
9, 0.055, 0.147346, 0.00968413, -0.0298907, 0.232369
9, 0.06, 0.163153, 0.0108584, -0.0341371, 0.267069
9, 0.065, 0.17885, 0.0122167, -0.0383532, 0.3055
9, 0.07, 0.194461, 0.0137407, -0.0425334, 0.347426
9, 0.075, 0.210011, 0.015417, -0.0466838, 0.392653
9, 0.08, 0.225523, 0.0172369, -0.0508133, 0.441052
9, 0.085, 0.241012, 0.0191953, -0.0549298, 0.492545
9, 0.09, 0.256488, 0.0212893, -0.0590385, 0.547086
9, 0.095, 0.271956, 0.0235176, -0.0631429, 0.604652
10, 0, 0.00538111, 0.000399481, 0.00526399, 0.000744291
10, 0.005, 0.0198793, 0.000590082, 0.0058324, 0.00219057
10, 0.01, 0.0342038, 0.000934041, 0.00616238, 0.00560399
10, 0.015, 0.048341, 0.0014236, 0.00626787, 0.0108167
10, 0.02, 0.0623159, 0.0021283, 0.00615398, 0.0175487
10, 0.025, 0.0760138, 0.00316469, 0.00578636, 0.0253046
10, 0.03, 0.0895056, 0.00465097, 0.00547247, 0.0340438
10, 0.035, 0.103301, 0.00684323, 0.00583796, 0.0444315
10, 0.04, 0.1184, 0.0100742, 0.00756711, 0.0581262
10, 0.045, 0.135606, 0.0142891, 0.0107688, 0.0770051
